"unit","time","Y"
"A",1,4.57550164846812
"A",2,8.55356070393703
"A",3,11.571846176252
"A",4,11.9577766118599
"A",5,13.1637034733994
"A",6,14.0937157152746
"A",7,14.7589625591136
"A",8,15.6922989254167
"A",9,17.1033900488395
"A",10,18.9483812001327
"A",11,21.7122381334333
"A",12,24.6995121518111
"A",13,27.6210115190182
"A",14,28.6046360875382
"A",15,29.7749404591898
"A",16,30.8974884048065
"A",17,31.8143739668169
"A",18,31.0663640917559
"A",19,30.119001857208
"A",20,29.7684595714157
"A",21,30.7298070550917
"A",22,31.6056364247321
"A",23,32.5465211102101
"A",24,33.3741476395976
"A",25,32.7241998501922
"A",26,31.9691189508311
"A",27,30.627656726894
"A",28,29.4399257960101
"A",29,29.6911384020462
"A",30,30.4884657044642
"A",31,31.1890263205904
"A",32,31.5235226161563
"A",33,32.637796424845
"A",34,33.9321310424597
"A",35,34.6134728913596
"A",36,35.7457742639361
"A",37,36.9533794520633
"A",38,38.091644714939
"A",39,39.4824606224003
"A",40,41.2466839975821
"A",41,44.280340912685
"A",42,47.1004206736628
"A",43,50.1858803561787
"A",44,52.4342146155228
"A",45,54.9044710594926
"A",46,57.8363902478288
"A",47,59.2733420974906
"A",48,61.3340080098072
"A",49,63.5353876683978
"A",50,67.5537803189278
"A",51,71.9066565784056
"A",52,75.369671929969
"A",53,79.0697979996691
"A",54,81.4833534295161
"A",55,82.6493610751202
"A",56,83.701772884364
"A",57,84.2822003190789
"A",58,85.1230347390738
"A",59,85.462415804329
"A",60,85.5000312311005
"A",61,85.0090509614237
"A",62,84.2109089677525
"A",63,84.8283799796374
"A",64,83.8925175099556
"A",65,83.75760899695
"A",66,83.9028046873579
"A",67,85.0039897759377
"A",68,85.5821871353756
"A",69,86.4817120830552
"A",70,87.4482083989126
"A",71,87.6564798216623
"A",72,88.890488341272
"A",73,90.8425561002912
"A",74,92.8857911618052
"A",75,95.7311173266459
"A",76,98.5246063718935
"A",77,100.37504879266
"A",78,101.604692781937
"A",79,102.042920650479
"A",80,102.112689202846
"B",1,5.56729892233798
"B",2,10.5327831203969
"B",3,15.114666842784
"B",4,17.3167944548171
"B",5,19.8706149129829
"B",6,21.8918228646073
"B",7,23.6054295190645
"B",8,23.9021430318402
"B",9,23.6762502356022
"B",10,23.9488635347005
"B",11,25.5314221315793
"B",12,26.8852465656303
"B",13,28.6018943859761
"B",14,29.6828440160784
"B",15,29.6707663180753
"B",16,29.5074948871985
"B",17,29.0693484856074
"B",18,28.2631256666375
"B",19,27.8294701855533
"B",20,28.0905154980119
"B",21,29.0034595365282
"B",22,29.71400687799
"B",23,30.770693949681
"B",24,31.9441300790795
"B",25,31.8574321166195
"B",26,31.1878477948992
"B",27,30.4620492684675
"B",28,29.8753621226193
"B",29,30.0913783924065
"B",30,30.9022979125865
"B",31,31.5635494853154
"B",32,31.9187031859181
"B",33,32.9306519561406
"B",34,34.0849482917618
"B",35,34.7365799543397
"B",36,34.7632826816442
"B",37,34.8354806493199
"B",38,35.6636355736012
"B",39,36.3449122474173
"B",40,37.6078671673727
"B",41,39.0962255778575
"B",42,39.9771337345713
"B",43,41.1421255592867
"B",44,41.1862162791848
"B",45,42.5668116068681
"B",46,45.8091670902064
"B",47,48.4118299564924
"B",48,49.9274383030947
"B",49,51.8897632320407
"B",50,53.755472208962
"B",51,57.6830137853251
"B",52,61.0869912474003
"B",53,64.6688364119836
"B",54,67.9271908441311
"B",55,70.0088416832648
"B",56,72.174533898961
"B",57,72.7861399614615
"B",58,74.3404461995108
"B",59,75.8473242447783
"B",60,78.0867462679893
"B",61,79.8900315957607
"B",62,80.8824799267165
"B",63,82.6209754068376
"B",64,82.9454670397461
"B",65,83.0639543061425
"B",66,83.4404413012136
"B",67,84.4199991788563
"B",68,84.9760047455779
"B",69,86.0675678756535
"B",70,87.0927555972035
"B",71,87.5519124539173
"B",72,88.9044987521798
"B",73,91.3594815062559
"B",74,94.2947397553073
"B",75,98.5980625733195
"B",76,103.069010252905
"B",77,105.783183032446
"B",78,107.612984876028
"B",79,108.17746436869
"B",80,108.248894493719
"C",1,3.73813987340526
"C",2,6.52769962191424
"C",3,8.59102361196439
"C",4,8.10748715018972
"C",5,8.81867001916046
"C",6,9.48546404509252
"C",7,10.1220392653307
"C",8,11.4947334233294
"C",9,13.5145658781753
"C",10,15.7351641316352
"C",11,18.6932089156359
"C",12,22.0369658802473
"C",13,25.0486359325937
"C",14,26.0658156342435
"C",15,27.1932512584739
"C",16,28.2357065583386
"C",17,28.4887076206743
"C",18,27.8572616394634
"C",19,27.3962880773102
"C",20,27.5668898410528
"C",21,28.4557988082571
"C",22,29.0188423971327
"C",23,29.9983520213598
"C",24,31.5798549182429
"C",25,31.8666156661556
"C",26,31.6310735452469
"C",27,31.660789007722
"C",28,32.22707287747
"C",29,32.896217595448
"C",30,34.3703702500219
"C",31,36.1413860758433
"C",32,37.0496232169114
"C",33,38.2931112570079
"C",34,38.556309707967
"C",35,40.0474268448846
"C",36,43.4130074910537
"C",37,46.1244231594954
"C",38,47.4782927058657
"C",39,49.4669250102959
"C",40,51.0410781190471
"C",41,54.7938367655487
"C",42,58.0020221246035
"C",43,61.5041630673403
"C",44,64.680530340313
"C",45,66.953365397768
"C",46,69.2215510642003
"C",47,69.4690742304885
"C",48,70.956669061815
"C",49,72.2107211048121
"C",50,75.3188493334106
"C",51,78.8414066556644
"C",52,81.383781465537
"C",53,84.2262947491819
"C",54,86.0793776221428
"C",55,86.6058471515112
"C",56,87.1951809799855
"C",57,86.7029745354751
"C",58,86.8041266049703
"C",59,87.1891253855484
"C",60,88.0493369351351
"C",61,88.9991471769064
"C",62,89.5121150575266
"C",63,91.0731927498968
"C",64,91.294455960857
"C",65,90.8277475441796
"C",66,90.9704720283854
"C",67,90.9523696680197
"C",68,91.086637530682
"C",69,91.2849124970261
"C",70,90.7357883507472
"C",71,89.7539017989608
"C",72,88.8201084439597
"C",73,89.0892008744314
"C",74,88.0229770803342
"C",75,87.2968348724064
"C",76,87.0525686763538
"C",77,87.9001628110515
"C",78,88.2233290762934
"C",79,88.9754272384707
"C",80,89.8079759292591
