"unit","time","Y"
"A",1,0.0241444239466932
"A",2,0.0892124359638776
"A",3,0.154893310169286
"A",4,0.294514961875908
"A",5,0.416133715745316
"A",6,0.441402721464289
"A",7,0.475336615955421
"A",8,0.645587467839108
"A",9,0.73047363822708
"A",10,0.735309514647003
"A",11,0.864689328229785
"A",12,1.03497766131977
"A",13,1.05494731855933
"A",14,1.06668078243584
"A",15,1.12009773234154
"A",16,1.15483920400026
"A",17,1.31395120531425
"A",18,1.33393239480996
"A",19,1.28303077695531
"A",20,1.50655402546057
"A",21,1.38828222259959
"A",22,1.48452123223671
"A",23,1.56125155973263
"A",24,1.58685169895742
"A",25,1.47528534890467
"A",26,1.57557472594972
"A",27,1.52088808982308
"A",28,1.52512122162178
"A",29,1.48873122033457
"A",30,1.46117056754796
"A",31,1.44414819976682
"A",32,1.42025140147222
"A",33,1.48717806382901
"A",34,1.42574932744134
"A",35,1.24078446248726
"A",36,1.37274039334107
"A",37,1.16459784451003
"A",38,1.20417167132081
"A",39,1.20788935527983
"A",40,1.13665558065876
"A",41,1.07736748758086
"A",42,0.995652923777511
"A",43,1.00003277629424
"A",44,0.956178596390577
"A",45,0.891960995254077
"A",46,0.785779338813696
"A",47,0.720191280185813
"A",48,0.806125183680218
"A",49,0.712790387160531
"A",50,0.570438919129436
"A",51,0.567089916473552
"A",52,0.54259274510213
"A",53,0.588055404808968
"A",54,0.480252008638494
"A",55,0.382615640630467
"A",56,0.47737713500854
"A",57,0.41788532441204
"A",58,0.282182161733517
"A",59,0.452378027612158
"A",60,0.313033287359833
"A",61,0.3047917639038
"A",62,0.34226089054233
"A",63,0.355190489596294
"A",64,0.419811281881121
"A",65,0.460068370823946
"A",66,0.551005995913739
"A",67,0.453652901955074
"A",68,0.488542826806321
"A",69,0.497898497099336
"A",70,0.610993389922916
"A",71,0.541775330794683
"A",72,0.569948725554606
"A",73,0.742509345734666
"A",74,0.939140292939565
"A",75,0.928943739052019
"A",76,1.0172492137975
